name,url,price,regular_price,sale_price,sku,brand,category,categories,description,colors,sizes,features,product_tags,related_products,variation_details,in_the_box,review_count,material,warranty,shipping_info,age_group,skill_level,attributes,images,stock_status,stock_quantity,in_stock
Hammer Throw RED SUN CAST IRON (16Lb),https://sportscenter.com.np/product/hammer-throw-red-sun-cast-iron-16lb/,2640.0,,,150008,Red Sun,Hammer Throw,"Athletics, Field, Hammer Throw","Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil the needs of its growing customers.Hammer throw is considered a very masculine event in the Olympics. The Cast iron made Hammer throw includes steel wires and grab handles with a swivel that allows free range of motion reducing the friction for maximum free play. Ideally for the Men.",,"16 pounds, 7.26Kg","16 pounds or 7.26Kgs | Cast Iron built | Versatile for both training and competitive use | Every hammer includes a durable, heavy-duty steel wire made for a firm grip and stronghold | High range of motion: Swivel for a high range of motion that won’t impede your throwing form. | Ideal for Men.",,Stop Watch Vixen Trina (https://sportscenter.com.np/product/stop-watch-vixen-trina/) | Javelin Throw Vixen Tuskar (https://sportscenter.com.np/product/javelin-throw-tuskar/) | Shot Put REDSUN (https://sportscenter.com.np/product/shot-put-redsun/) | Relay Baton KOXTONS (Set of 6) (https://sportscenter.com.np/product/relay-baton-koxtons-set-of-6/),,1 set Hammer Throw,0,iron made,,,,,"{""Weight"": ""8 kg"", ""Dimensions"": ""20 \u00d7 20 \u00d7 20 cm""}","https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-2-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-3-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-1-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/stop-watch-trina-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/shotput-3.63kgs-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-300x300.jpg",7 in stock,7,True
Javelin Throw VIXEN,https://sportscenter.com.np/product/javelin-throw-vixen/,2920.0-3281.0,,,N/A,Vixen,Javelin Throw,"Athletics, Field, Javelin Throw","Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Javelin or javelin Throw is a very popular field athletics sports also participated in the Olympics. It is considered one of the best events in the Olympics history. Vixen Javelin Throw are made of aluminium and alloy mix. They come in a weight category of 600 and 800 grams. Sports Center recommends the use of Vixen javelin in Sporting Field Events.",,"Men (260cm, 800gm), Women (220cm, 600gm)","Made of Aluminium and Alloy | Available in Women (220cm Length, 600GMS weight) and Men (260cm Length and 800Gms  weight) category. | For Sporting Athletic Field events. | Men (260cm, 800gm) | Women (220cm, 600gm) | Men (260cm, 800gm), Women (220cm, 600gm)",,Hammer Throw RED SUN CAST IRON (16Lb) (https://sportscenter.com.np/product/hammer-throw-red-sun-cast-iron-16lb/) | Relay Baton VIXEN ALUMINIUM (SET OF 8) (https://sportscenter.com.np/product/relay-baton-vixen-aluminium-set-of-8/) | Running Spikes Vector X Flyer (https://sportscenter.com.np/product/running-spikes-vector-x-flyer/) | Relay Baton KOXTONS (Set of 6) (https://sportscenter.com.np/product/relay-baton-koxtons-set-of-6/),"Size: Men (260cm, 800gm) | Size: Women (220cm, 600gm)",1 piece javelin throw,0,aluminium and alloy mix,,,,,"{""Size"": ""Men (260cm, 800gm), Women (220cm, 600gm)""}","https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-2-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-300x300.jpg",Available,,True
Javelin Throw Vixen Tuskar,https://sportscenter.com.np/product/javelin-throw-tuskar/,13280.0-16117.0,,,N/A,Vixen,Javelin Throw,"Athletics, Field, Javelin Throw","Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.",,"Men (260cm, 800gm), Women (220cm, 600gm)","Javelin Aluminium construct with precise construct | World Athletics approved | Professional level javelin | Made from the best sourced materials with no compromize | Available in 600 and 800 grams weight category | Men (260cm, 800gm) | Women (220cm, 600gm) | Men (260cm, 800gm), Women (220cm, 600gm)",,Relay Baton VIXEN ALUMINIUM (SET OF 8) (https://sportscenter.com.np/product/relay-baton-vixen-aluminium-set-of-8/) | Hammer Throw RED SUN CAST IRON (16Lb) (https://sportscenter.com.np/product/hammer-throw-red-sun-cast-iron-16lb/) | Running Spikes Vector X Flyer (https://sportscenter.com.np/product/running-spikes-vector-x-flyer/) | Javelin Throw VIXEN (https://sportscenter.com.np/product/javelin-throw-vixen/),"Size: Men (260cm, 800gm) | Size: Women (220cm, 600gm)",1 piece javelin throw only,0,,,,,Professional,"{""Size"": ""Men (260cm, 800gm), Women (220cm, 600gm)""}","https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-2-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-300x300.jpg",Available,,True
Shot Put REDSUN,https://sportscenter.com.np/product/shot-put-redsun/,1200.0-2400.0,,,N/A,Red Sun,Shotput,"Athletics, Field, Shotput","Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil the needs of its growing customers.SHOT PUT is a track and field even in Athletics. It is an Olympic sport. Red SUN Shot Put is made of cast iron and is very much durable. It weighs 3.63Kgs or 8 Lbs. Ideally for the School Level Athletics meets and events.",,"3.63Kg/ 8 LB, 7.26Kg/ 16Lb","Material Cast Iron | Weight: 3.63Kgs/ 8Lbs and 7.26Kgs/16Lb | strong and sturdy built | 3.63Kg/ 8 LB | 7.26Kg/ 16Lb | 3.63Kg/ 8 LB, 7.26Kg/ 16Lb",,Running Spikes VECTOR X BOLTED (https://sportscenter.com.np/product/running-spikes-vector-x-bolt/) | Relay Baton VIXEN ALUMINIUM (SET OF 8) (https://sportscenter.com.np/product/relay-baton-vixen-aluminium-set-of-8/) | Stop Watch Vixen Trina (https://sportscenter.com.np/product/stop-watch-vixen-trina/) | Relay Baton KOXTONS (Set of 6) (https://sportscenter.com.np/product/relay-baton-koxtons-set-of-6/),Weight: 3.63Kg/ 8 LB | Weight: 7.26Kg/ 16Lb,1 piece 3.63 kg shotput only.,0,cast iron and is very much durable,,,,,"{""Weight"": ""3.63Kg/ 8 LB, 7.26Kg/ 16Lb""}","https://sportscenter.com.np/wp-content/uploads/2021/06/shotput-3.63kgs-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-BOLTED-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/stop-watch-trina-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-300x300.jpg",unavailable,0,False
Relay Baton KOXTONS (Set of 6),https://sportscenter.com.np/product/relay-baton-koxtons-set-of-6/,800.0,,,150018,Koxton,Relay Baton,"Athletics, Track, Relay Baton",Koxtons is a giant company from Meerut India. They sell a wide array of sporting goods that are played by the human race in the region.Relay batons are the lightning spirit for any relay race. They are made of plastic and come in a set of 6 pieces.,,,Set of 6 Pieces baton | Assorted Colors | Plastic construct | unbreakable and flexible | Lightweight,,Running Spikes VECTOR X BOLTED (https://sportscenter.com.np/product/running-spikes-vector-x-bolt/) | Relay Baton VIXEN ALUMINIUM (SET OF 8) (https://sportscenter.com.np/product/relay-baton-vixen-aluminium-set-of-8/) | Javelin Throw Vixen Tuskar (https://sportscenter.com.np/product/javelin-throw-tuskar/) | Javelin Throw VIXEN (https://sportscenter.com.np/product/javelin-throw-vixen/),,6 pieces relay baton,0,plastic and come in a set of 6 pieces,,,,,"{""Weight"": ""0.3 kg"", ""Dimensions"": ""30 \u00d7 30 \u00d7 10 cm""}","https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-BOLTED-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-300x300.jpg",Out of stock,0,False
Relay Baton VIXEN ALUMINIUM (SET OF 8),https://sportscenter.com.np/product/relay-baton-vixen-aluminium-set-of-8/,2250.0,,,150005,Vixen,Relay Baton,"Athletics, Track, Relay Baton","Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Aluminium Relay batons from VIXEN are IAAF Approved batons and adhere to international athletics standards in terms of weight and sizes. They are the best that one can ask for and is approved for international standard athletics meets and events.",,"Weight Assorted Colors Aluminium Construct Strong, very Light, s",Set of 8 Batons | IAAF Batons | Official Size and Weight | Assorted Colors | Aluminium Construct | Strong and very Light,,Hammer Throw RED SUN CAST IRON (16Lb) (https://sportscenter.com.np/product/hammer-throw-red-sun-cast-iron-16lb/) | Running Spikes VECTOR X BOLTED (https://sportscenter.com.np/product/running-spikes-vector-x-bolt/) | Relay Baton KOXTONS (Set of 6) (https://sportscenter.com.np/product/relay-baton-koxtons-set-of-6/) | Shot Put REDSUN (https://sportscenter.com.np/product/shot-put-redsun/),,8 pieces aluminium relay batons.,0,,,,,,"{""Weight"": ""0.5 kg"", ""Dimensions"": ""35 \u00d7 20 \u00d7 15 cm""}","https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-5-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-6-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-4-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-2-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-3-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-2-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-BOLTED-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/shotput-3.63kgs-1-300x300.jpg",1 in stock,1,True
Running Spikes VECTOR X BOLTED,https://sportscenter.com.np/product/running-spikes-vector-x-bolt/,3403.0,,,N/A,Vector X,Running Spikes,"Shoes, Running Spikes Shoes, Athletics, Running Spikes, Track","With the growing demand of good health and fitness, Vector X comes up with innovations each day. Whether it’s hard core fitness or trying your hands on your favorite sport, Vector X is there for you. Vector X has taken upon themselves to make sure you are always young and fit.A part of Soccer International Pvt ltd , a renowned sports good manufacturer with a reputation par excellence which has been exporting to different parts of the world,  Vector X entered India in 1999 under the brand name Vector X.Vector X in Nepal was introduced in the year 2020. It soon rivaled other top selling Sporting brands in the country and its presence is sure to stay for a long time in Nepal. Sports Center started the network for Vector X in Nepal and is going Strong in Nepal both in the Online and the offline channels.The Bolt running spikes are all rounding spikes sold by VECTOR X. It offers great value for money and meets the need of beginners and intermediate level athletes. Comes with both Long and short running spikes in the pack. Sports Center recommends it for School and club level athletes.",,"UK 10, UK 5, UK 6, UK 7, UK 8, UK 9","Padded Footbed | 7 Metal Nails | Tpu Plate With Eva | For Athletics sprints | With long and small nails for short and long distances | Removable and interchangeable spikes | UK 10 | UK 5 | UK 6 | UK 7 | UK 8 | UK 9 | UK 10, UK 5, UK 6, UK 7, UK 8, UK 9",,Cricket Shoes SG STRIKE 4.0 (https://sportscenter.com.np/product/cricket-shoes-sg-strike-4-0/) | Stop Watch Vixen Trina (https://sportscenter.com.np/product/stop-watch-vixen-trina/) | Javelin Throw VIXEN (https://sportscenter.com.np/product/javelin-throw-vixen/) | Javelin Throw Vixen Tuskar (https://sportscenter.com.np/product/javelin-throw-tuskar/),Shoe Size: UK 10 | Shoe Size: UK 5 | Shoe Size: UK 6 | Shoe Size: UK 7 | Shoe Size: UK 8 | Shoe Size: UK 9,"1 pair running spikes, 1 set of spare running spike nails and 1 piece key to change the running spikes.",0,,,,,intermediate,"{""Shoe Size"": ""UK 10, UK 5, UK 6, UK 7, UK 8, UK 9""}","https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-BOLTED-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/12/vECTOR-X-BOLTED-2-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/12/vECTOR-X-BOLTED-8-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/12/vECTOR-X-BOLTED-6-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/12/shoe-size-chart-1.jpg, https://sportscenter.com.np/wp-content/uploads/2020/12/strike-4-4-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/stop-watch-trina-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-300x300.jpg",unavailable,0,False
Running Spikes Vector X Flyer,https://sportscenter.com.np/product/running-spikes-vector-x-flyer/,4000.0,,,N/A,Vector X,Running Spikes,"Athletics, Track, Running Spikes","With the growing demand for good health and fitness, Vector X comes up with innovations each day. Whether it’s hardcore fitness or trying your hands on your favourite sport, Vector X is there for you. Vector X has taken it upon themselves to make sure you are always young and fit.A part of Soccer International Pvt Ltd, a renowned sports good manufacturer with a reputation par excellence which has been exporting to different parts of the world, Vector X entered India in 1999 under the brand name Vector X.Vector X in Nepal was introduced in the year 2020. It soon rivalled other top-selling Sporting brands in the country and its presence is sure to stay for a long time in Nepal. Sports Center started the network for Vector X in Nepal and is going strong in Nepal both in the Online and the offline channels.A proper running spikes for the sprints.",,"UK 10, UK 5, UK 6, UK 7, UK 8, UK 9","Knitted upper with TPU filmTPU Plate with removeable spikesA TPU plate provides stability with EIGHT removable spikes offer custom traction for multiple distances eventsSpike plate extends under the arch for midfoot response and supportPadded ankle collar Padded Footbed Cushioned AnkleEVA sockliner Laminated with Polyster fabic for better cushioning | Knitted upper with TPU film | TPU Plate with removeable spikes | A TPU plate provides stability with EIGHT removable spikes offer custom traction for multiple distances events | Spike plate extends under the arch for midfoot response and support | Padded ankle collar Padded Footbed Cushioned Ankle | EVA sockliner Laminated with Polyster fabic for better cushioning | UK 10 | UK 5 | UK 6 | UK 7 | UK 8 | UK 9 | UK 10, UK 5, UK 6, UK 7, UK 8, UK 9",,Javelin Throw VIXEN (https://sportscenter.com.np/product/javelin-throw-vixen/) | Shot Put REDSUN (https://sportscenter.com.np/product/shot-put-redsun/) | Stop Watch Vixen Trina (https://sportscenter.com.np/product/stop-watch-vixen-trina/) | Javelin Throw Vixen Tuskar (https://sportscenter.com.np/product/javelin-throw-tuskar/),Shoe Size: UK 10 | Shoe Size: UK 5 | Shoe Size: UK 6 | Shoe Size: UK 7 | Shoe Size: UK 8 | Shoe Size: UK 9,1 PAIR RUNNING SPIKES ONLY,0,,,,,,"{""Shoe Size"": ""UK 10, UK 5, UK 6, UK 7, UK 8, UK 9""}","https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-2-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-5-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-6-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/shotput-3.63kgs-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/stop-watch-trina-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-300x300.jpg",unavailable,0,False
Boxing Mitt FBT (1 Piece),https://sportscenter.com.np/product/boxing-mitt-fbt-1-piece/,2915.0,,,80057,FBT,Boxing Mitts/Pads,"Boxing, Martial Arts & MMA, Boxing Mitts/Pads, Boxing, Martial Arts & MMA",FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.The Boxing Mitt FBT is oval Shaped and is made of genuine hide leather. They last for a long time and can withstand the punch forces of a professional-level martial artist.,,,Genuine Hide Leather | Colour: Red | Glove compartment insert for a perfect fit | Robust built and sturdy | Contains 1 piece Boxing Pad only,,Boxing Gloves USI UNIVERSAL Amateur Contest (https://sportscenter.com.np/product/boxing-gloves-usi-amateur-contest/) | Boxing Head Guard USI UNIVERSAL Lite Contest (https://sportscenter.com.np/product/boxing-head-guard-usi-lite-contest/) | Punching Bag USI UNIVERSAL Crusher (https://sportscenter.com.np/product/punching-bag-usi-crusher-3ft-20kgs/) | Boxing Mouth Guard USI UNIVERSAL Double (https://sportscenter.com.np/product/boxing-mouth-guard-usi-double/),,1 piece Boxing Pad Only,0,genuine hide leather,,,,,"{""Weight"": ""0.5 kg"", ""Dimensions"": ""25 \u00d7 25 \u00d7 10 cm""}","https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Boxing-Mitts-4-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Boxing-Mitts-1-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Boxing-Mitts-2-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Boxing-Mitts-3-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/amateur-boxing-gloves-usi-2-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/head-guard-lite-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/crusher-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/Mouth-Guard-1-300x300.jpg",1 in stock,1,True
Boxing Mitt FBT STRIKING PAD,https://sportscenter.com.np/product/boxing-mitt-fbt-striking-pad/,6552.0,,,N/A,FBT,Boxing Mitts/Pads,"Boxing, Martial Arts & MMA, Kick Targets, Boxing Mitts/Pads, Boxing, Martial Arts & MMA","FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.FBT Striking pads are thorough professional use striking pads for boxing, kick Boxing, Muay Thai and other disciplines. It is used for punches, kicks, elbows knees etc. Sports Center recommends striking pads for use by professionals during their training.","Black, Blue",,"Square Shaped | Genuine Leather Material | Robust Built and sturdy | Ideally for professional training | Comes in a piece | Sturdy Grab Handles | Black, Blue",,Punching Bag USI UNIVERSAL Fury (https://sportscenter.com.np/product/punching-bag-usi-fury/) | Punching Bag USI UNIVERSAL Angle Bag Immortal 626ABL (https://sportscenter.com.np/product/punching-bag-usi-angle-bag-immortal-626abl/) | Boxing Hand Wrap USI UNIVERSAL Cotton 4.55 Meters (https://sportscenter.com.np/product/boxing-hand-wrap-usi-cotton-4-55-meters/) | Boxing Mitts Punching Pads USI UNIVERSAL Focus Comferto (https://sportscenter.com.np/product/boxing-mitts-punching-pads-usi-focus-comferto/),Color: Black | Color: Blue,1 piece Square Striking Pad,0,,,,,professional,"{""Color"": ""Black, Blue""}","https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-STRIKING-PAD-3-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-STRIKING-PAD-4-1-600x600.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/Punching-bag-USI-fury-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/angle-bagg-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/HAND-WRAP-BLACK-1-300x300.jpg, https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-mitts-comferto-mitts-2-300x300.jpg",unavailable,0,False
