Category,Name,Marked Price,Min Discounted Price,Description,Image URLs
Hammer Throw,Hammer Throw RED SUN CAST IRON (16Lb),2640.0,2640.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil the needs of its growing customers.Hammer throw is considered a very masculine event in the Olympics. The Cast iron made Hammer throw includes steel wires and grab handles with a swivel that allows free range of motion reducing the friction for maximum free play. Ideally for the Men.",https://sportscenter.com.np/wp-content/uploads/2021/06/Hammer-THROW-2-1-600x600.jpg
Javelin Throw,Javelin Throw VIXEN,3281.0,2920.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Javelin or javelin Throw is a very popular field athletics sports also participated in the Olympics. It is considered one of the best events in the Olympics history. Vixen Javelin Throw are made of aluminium and alloy mix. They come in a weight category of 600 and 800 grams. Sports Center recommends the use of Vixen javelin in Sporting Field Events.",https://sportscenter.com.np/wp-content/uploads/2021/06/javlin-600x600.jpg
Javelin Throw,Javelin Throw Vixen Tuskar,16117.0,13280.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.",https://sportscenter.com.np/wp-content/uploads/2025/03/javelin-tuskar-600x600.jpg
Shotput,Shot Put REDSUN,2400.0,1200.0,"Sports Center has been in business with Sealand Traders of Meerut India with their Brand “Red Sun” since the start of our store more than 40 years back. Red Sun brand is a very well perceived brand in the country, especially with its weight plates, barbells, dumbbells, carrom boards to name a few. For its quality products Red Sun brand has been able to create good brand equity in the market. With its new introductions and innovative products being introduced in the market at reasonable rates Red Sun brand is here to stay in Nepal and fulfil the needs of its growing customers.SHOT PUT is a track and field even in Athletics. It is an Olympic sport. Red SUN Shot Put is made of cast iron and is very much durable. It weighs 3.63Kgs or 8 Lbs. Ideally for the School Level Athletics meets and events.",https://sportscenter.com.np/wp-content/uploads/2021/06/shotput-3.63kgs-1-600x600.jpg
Relay Baton,Relay Baton KOXTONS (Set of 6),800.0,800.0,Koxtons is a giant company from Meerut India. They sell a wide array of sporting goods that are played by the human race in the region.Relay batons are the lightning spirit for any relay race. They are made of plastic and come in a set of 6 pieces.,https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-koxtons-1-600x600.jpg
Relay Baton,Relay Baton VIXEN ALUMINIUM (SET OF 8),2250.0,2250.0,"Sports Center has been in Business with Bhalla Sports PVT Ltd since the start of the business. Vixen is a very well perceived brand by Bhalla Sports PVT Ltd in Nepal. It’s a 50+ years company and is continuing the business. Vixen Sports sells all sorts of sporting goods from Football, indoor games to physical fitness items. It’s one company that has a wide variety of goods under its belt. Vixen brand has quality, is reasonably priced and is a leader in innovative products that surpasses the expectation of the users.Aluminium Relay batons from VIXEN are IAAF Approved batons and adhere to international athletics standards in terms of weight and sizes. They are the best that one can ask for and is approved for international standard athletics meets and events.",https://sportscenter.com.np/wp-content/uploads/2021/06/relay-baton-vixen-1-600x600.jpg
Running Spikes,Running Spikes VECTOR X BOLTED,3403.0,3403.0,"With the growing demand of good health and fitness, Vector X comes up with innovations each day. Whether it’s hard core fitness or trying your hands on your favorite sport, Vector X is there for you. Vector X has taken upon themselves to make sure you are always young and fit.A part of Soccer International Pvt ltd , a renowned sports good manufacturer with a reputation par excellence which has been exporting to different parts of the world,  Vector X entered India in 1999 under the brand name Vector X.Vector X in Nepal was introduced in the year 2020. It soon rivaled other top selling Sporting brands in the country and its presence is sure to stay for a long time in Nepal. Sports Center started the network for Vector X in Nepal and is going Strong in Nepal both in the Online and the offline channels.The Bolt running spikes are all rounding spikes sold by VECTOR X. It offers great value for money and meets the need of beginners and intermediate level athletes. Comes with both Long and short running spikes in the pack. Sports Center recommends it for School and club level athletes.",https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-BOLTED-1-600x600.jpg
Running Spikes,Running Spikes Vector X Flyer,4000.0,4000.0,"With the growing demand for good health and fitness, Vector X comes up with innovations each day. Whether it’s hardcore fitness or trying your hands on your favourite sport, Vector X is there for you. Vector X has taken it upon themselves to make sure you are always young and fit.A part of Soccer International Pvt Ltd, a renowned sports good manufacturer with a reputation par excellence which has been exporting to different parts of the world, Vector X entered India in 1999 under the brand name Vector X.Vector X in Nepal was introduced in the year 2020. It soon rivalled other top-selling Sporting brands in the country and its presence is sure to stay for a long time in Nepal. Sports Center started the network for Vector X in Nepal and is going strong in Nepal both in the Online and the offline channels.A proper running spikes for the sprints.",https://sportscenter.com.np/wp-content/uploads/2024/02/vECTOR-X-FLYER-1-600x600.jpg
Boxing Mitts/Pads,Boxing Mitt FBT (1 Piece),2915.0,2915.0,FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.The Boxing Mitt FBT is oval Shaped and is made of genuine hide leather. They last for a long time and can withstand the punch forces of a professional-level martial artist.,https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-Boxing-Mitts-4-600x600.jpg
Boxing Mitts/Pads,Boxing Mitt FBT STRIKING PAD,6552.0,6552.0,"FBT is a brand Marvel from Thailand. They are known worldwide for their sporting goods equipment.FBT Striking pads are thorough professional use striking pads for boxing, kick Boxing, Muay Thai and other disciplines. It is used for punches, kicks, elbows knees etc. Sports Center recommends striking pads for use by professionals during their training.",https://sportscenter.com.np/wp-content/uploads/2021/06/FBT-STRIKING-PAD-3-1-600x600.jpg
Boxing Mitts/Pads,Boxing Mitt Punching Pads USI UNIVERSAL Contra Focus Mitts,3507.0,3507.0,USI has tried to take training to a new level by introducing this high tech range. USI has studied all the missing features in the conventional mitts and tried to answer all in this range of Contra Focus Mitt pads.The Contra series has introduced preshaped padded zones to deliver maximum protection. These pads are ultra-strong yet very light. The Soft lining material also wicks away the moisture from the pads.,https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-mitts-contra-camo-1-1-600x600.jpg
Boxing Mitts/Pads,Boxing Mitt WOLON,3040.0,3040.0,The Budget brand from CHINA. WOLON is a well-reputed Martial Arts Equipment Manufacturer. Built from PU it’s light in weight and lighter on your wallet as well. Sports Center recommends the WOLON BoxingMitts for boxing mitts work in boxing training gyms ideally for beginners and intermediate level players.,https://sportscenter.com.np/wp-content/uploads/2021/06/boxing-mitts-wolon-1-600x600.jpg
